QueryId,DocumentId
201,clueweb12-1700tw-22-12689
201,clueweb12-0915wb-34-01721
201,clueweb12-0900wb-98-24673
201,clueweb12-1205wb-61-24105
201,clueweb12-1007wb-48-27054
201,clueweb12-0909wb-96-26247
201,clueweb12-0713wb-35-13648
201,clueweb12-0800tw-17-25760
201,clueweb12-0400tw-34-18992
201,clueweb12-0006wb-96-02778
201,clueweb12-0901tw-08-02360
201,clueweb12-0810wb-64-06846
201,clueweb12-1500tw-98-04929
201,clueweb12-0401tw-16-02547
201,clueweb12-1500tw-87-15657
201,clueweb12-0916wb-00-04079
201,clueweb12-1102wb-91-12621
201,clueweb12-1910wb-84-16059
201,clueweb12-1211wb-15-11029
201,clueweb12-0401tw-03-21671
202,clueweb12-0601wb-18-11856
202,clueweb12-1707wb-98-07904
202,clueweb12-1217wb-38-28443
202,clueweb12-1002wb-12-01571
202,clueweb12-1900tw-53-20555
202,clueweb12-1116wb-12-30914
202,clueweb12-0900tw-39-13453
202,clueweb12-0307wb-14-10525
202,clueweb12-0303wb-04-08428
202,clueweb12-1212wb-02-13082
202,clueweb12-1118wb-60-01284
202,clueweb12-0500tw-06-07919
202,clueweb12-1216wb-41-05666
202,clueweb12-1215wb-33-08369
202,clueweb12-1116wb-59-18964
202,clueweb12-1909wb-65-23698
202,clueweb12-0814wb-20-13703
202,clueweb12-1300wb-41-17656
202,clueweb12-0815wb-27-27558
202,clueweb12-0510wb-95-32597
203,clueweb12-0002wb-56-15117
203,clueweb12-1400tw-55-13237
203,clueweb12-1800tw-54-04940
203,clueweb12-1200tw-36-07532
203,clueweb12-1808wb-26-16413
203,clueweb12-1700tw-41-12266
203,clueweb12-0103wb-27-32640
203,clueweb12-0500tw-26-08047
203,clueweb12-0803wb-21-07780
203,clueweb12-1501wb-94-11940
203,clueweb12-1217wb-85-07116
203,clueweb12-0301tw-23-04341
203,clueweb12-1100tw-30-02547
203,clueweb12-1800tw-36-13939
203,clueweb12-0702wb-13-23198
203,clueweb12-0905wb-52-13797
203,clueweb12-1616wb-49-07379
203,clueweb12-0002wb-33-15556
203,clueweb12-0002wb-20-08962
203,clueweb12-0400wb-84-11912
204,clueweb12-0002wb-34-12153
204,clueweb12-1209wb-88-20908
204,clueweb12-1512wb-63-02073
204,clueweb12-1512wb-87-09536
204,clueweb12-0304wb-27-03544
204,clueweb12-0005wb-51-30122
204,clueweb12-0005wb-65-23314
204,clueweb12-1213wb-67-03123
204,clueweb12-1212wb-63-17269
204,clueweb12-0207wb-85-00335
204,clueweb12-1209wb-22-00167
204,clueweb12-1209wb-79-28735
204,clueweb12-1211wb-30-02358
204,clueweb12-1208wb-62-05131
204,clueweb12-1210wb-17-01493
204,clueweb12-0202wb-25-15698
204,clueweb12-1801wb-68-09002
204,clueweb12-1211wb-53-27050
204,clueweb12-1210wb-73-28398
204,clueweb12-0004wb-91-19843
205,clueweb12-0210wb-94-21302
205,clueweb12-1810wb-70-01321
205,clueweb12-1002wb-19-23101
205,clueweb12-1103wb-56-03288
205,clueweb12-1810wb-12-01690
205,clueweb12-0919wb-54-06748
205,clueweb12-1000wb-01-12448
205,clueweb12-1003wb-75-01113
205,clueweb12-1013wb-53-22115
205,clueweb12-0506wb-31-30726
205,clueweb12-0403wb-95-09741
205,clueweb12-0812wb-07-15129
205,clueweb12-1901wb-60-07140
205,clueweb12-1614wb-35-28354
205,clueweb12-0700wb-46-24520
205,clueweb12-0112wb-13-17957
205,clueweb12-1100wb-42-09076
205,clueweb12-0800tw-07-18666
205,clueweb12-0300wb-06-02438
205,clueweb12-1900wb-59-00786
206,clueweb12-1908wb-92-20410
206,clueweb12-1908wb-89-33553
206,clueweb12-0013wb-20-17064
206,clueweb12-1908wb-88-23858
206,clueweb12-1909wb-09-02433
206,clueweb12-1802wb-46-27982
206,clueweb12-1802wb-14-28735
206,clueweb12-0012wb-12-17968
206,clueweb12-0012wb-68-05137
206,clueweb12-1018wb-98-10653
206,clueweb12-1708wb-43-29773
206,clueweb12-0305wb-45-24379
206,clueweb12-0707wb-43-05848
206,clueweb12-1013wb-23-08451
206,clueweb12-0305wb-55-03096
206,clueweb12-0712wb-91-04819
206,clueweb12-0011wb-90-21539
206,clueweb12-1101wb-14-10502
206,clueweb12-1802wb-19-09241
206,clueweb12-0100wb-92-24612
207,clueweb12-1905wb-46-06917
207,clueweb12-0206wb-71-14452
207,clueweb12-1905wb-48-10251
207,clueweb12-1905wb-70-13334
207,clueweb12-0207wb-90-20840
207,clueweb12-0507wb-30-21602
207,clueweb12-0106wb-44-13775
207,clueweb12-0709wb-84-07645
207,clueweb12-0813wb-58-16452
207,clueweb12-0709wb-45-09518
207,clueweb12-1605wb-17-06310
207,clueweb12-0716wb-86-23401
207,clueweb12-0804wb-43-08700
207,clueweb12-0310wb-73-09674
207,clueweb12-0003wb-49-00587
207,clueweb12-1205wb-36-28252
207,clueweb12-0711wb-27-04628
207,clueweb12-1500tw-99-18494
207,clueweb12-0206wb-68-25063
207,clueweb12-0707wb-35-04335
208,clueweb12-0013wb-82-09787
208,clueweb12-0700tw-75-14955
208,clueweb12-1908wb-77-16099
208,clueweb12-0100wb-41-12862
208,clueweb12-0011wb-43-30798
208,clueweb12-1612wb-18-22030
208,clueweb12-1207wb-81-14962
208,clueweb12-1611wb-58-24738
208,clueweb12-0101wb-11-27146
208,clueweb12-0003wb-50-16116
208,clueweb12-0205wb-52-21293
208,clueweb12-0810wb-04-13355
208,clueweb12-0813wb-29-16299
208,clueweb12-0100wb-77-17913
208,clueweb12-0002wb-32-31101
208,clueweb12-1117wb-32-09557
208,clueweb12-0106wb-61-15202
208,clueweb12-0804wb-90-09490
208,clueweb12-0401wb-94-18846
208,clueweb12-1416wb-07-18902
209,clueweb12-0211wb-61-09967
209,clueweb12-1712wb-20-25493
209,clueweb12-1713wb-81-14127
209,clueweb12-0105wb-14-09800
209,clueweb12-0811wb-52-01249
209,clueweb12-1802wb-05-15680
209,clueweb12-1811wb-37-15416
209,clueweb12-1814wb-17-25231
209,clueweb12-0108wb-19-03883
209,clueweb12-0200wb-29-18544
209,clueweb12-1714wb-67-30936
209,clueweb12-0201wb-95-20969
209,clueweb12-1405wb-23-03730
209,clueweb12-1714wb-34-15184
209,clueweb12-1812wb-04-05288
209,clueweb12-0304wb-71-25029
209,clueweb12-0007wb-99-02437
209,clueweb12-1020wb-50-20951
209,clueweb12-1007wb-18-02940
209,clueweb12-1815wb-26-22756
210,clueweb12-0111wb-83-07059
210,clueweb12-0817wb-47-09355
210,clueweb12-0300tw-23-16953
210,clueweb12-1902wb-41-21839
210,clueweb12-1617wb-31-09424
210,clueweb12-0910wb-29-19979
210,clueweb12-1700tw-18-01572
210,clueweb12-1901wb-80-07058
210,clueweb12-1616wb-81-18998
210,clueweb12-1616wb-81-18984
210,clueweb12-0912wb-55-04636
210,clueweb12-0914wb-78-15579
210,clueweb12-0002wb-09-11456
210,clueweb12-1400tw-41-07043
210,clueweb12-1202wb-94-03451
210,clueweb12-0913wb-12-08534
210,clueweb12-0913wb-74-23164
210,clueweb12-0301tw-50-05240
210,clueweb12-0111wb-39-00027
210,clueweb12-0914wb-50-13006
211,clueweb12-1205wb-28-06475
211,clueweb12-0807wb-32-04301
211,clueweb12-0900tw-51-00197
211,clueweb12-0608wb-48-15793
211,clueweb12-0705wb-52-16756
211,clueweb12-1313wb-85-00033
211,clueweb12-1812wb-14-16550
211,clueweb12-0401wb-94-08967
211,clueweb12-0001wb-90-10708
211,clueweb12-1505wb-33-06263
211,clueweb12-0805wb-14-04718
211,clueweb12-0911wb-17-03997
211,clueweb12-0403wb-74-00844
211,clueweb12-1609wb-04-05655
211,clueweb12-1810wb-96-17518
211,clueweb12-0712wb-97-09990
211,clueweb12-0013wb-73-05490
211,clueweb12-1505wb-69-00765
211,clueweb12-0103wb-89-12017
211,clueweb12-0202wb-46-30245
212,clueweb12-1103wb-96-17731
212,clueweb12-1612wb-36-13556
212,clueweb12-1311wb-87-25753
212,clueweb12-0507wb-20-26769
